n[1].st,n[1].data,n[2].st,n[2].data,x,auxDATA,memDATA
I,1,I,1,true,1,1
I,2,I,2,true,2,2
T,1,I,1,true,1,1
I,1,T,1,true,1,1
T,2,I,2,true,2,2
I,2,T,2,true,2,2
C,1,I,1,false,1,1
T,1,T,1,true,1,1
I,1,C,1,false,1,1
C,2,I,2,false,2,2
T,2,T,2,true,2,2
I,2,C,2,false,2,2
C,2,I,1,false,2,1
E,1,I,1,false,1,1
C,1,T,1,false,1,1
T,1,C,1,false,1,1
I,1,C,2,false,2,1
I,1,E,1,false,1,1
C,1,I,2,false,1,2
E,2,I,2,false,2,2
C,2,T,2,false,2,2
T,2,C,2,false,2,2
I,2,C,1,false,1,2
I,2,E,2,false,2,2
E,2,I,1,false,2,1
C,2,T,1,false,2,1
E,1,T,1,false,1,1
T,1,C,2,false,2,1
T,1,E,1,false,1,1
I,1,E,2,false,2,1
E,1,I,2,false,1,2
C,1,T,2,false,1,2
E,2,T,2,false,2,2
T,2,C,1,false,1,2
T,2,E,2,false,2,2
I,2,E,1,false,1,2
I,2,I,1,true,2,2
E,2,T,1,false,2,1
T,1,E,2,false,2,1
I,1,I,2,true,2,2
I,1,I,2,true,1,1
E,1,T,2,false,1,2
T,2,E,1,false,1,2
I,2,I,1,true,1,1
T,2,I,1,true,2,2
I,2,T,1,true,2,2
T,1,I,2,true,2,2
I,1,T,2,true,2,2
T,1,I,2,true,1,1
I,1,T,2,true,1,1
T,2,I,1,true,1,1
I,2,T,1,true,1,1
C,2,I,1,false,2,2
T,2,T,1,true,2,2
T,1,T,2,true,2,2
I,1,C,2,false,2,2
C,1,I,2,false,1,1
T,1,T,2,true,1,1
T,2,T,1,true,1,1
I,2,C,1,false,1,1
C,1,I,1,false,1,2
E,2,I,1,false,2,2
C,2,T,1,false,2,2
T,1,C,2,false,2,2
I,1,C,1,false,1,2
I,1,E,2,false,2,2
C,2,I,2,false,2,1
E,1,I,2,false,1,1
C,1,T,2,false,1,1
T,2,C,1,false,1,1
I,2,C,2,false,2,1
I,2,E,1,false,1,1
E,1,I,1,false,1,2
C,1,T,1,false,1,2
E,2,T,1,false,2,2
T,1,C,1,false,1,2
T,1,E,2,false,2,2
I,1,E,1,false,1,2
E,2,I,2,false,2,1
C,2,T,2,false,2,1
E,1,T,2,false,1,1
T,2,C,2,false,2,1
T,2,E,1,false,1,1
I,2,E,2,false,2,1
E,1,T,1,false,1,2
T,1,E,1,false,1,2
E,2,T,2,false,2,1
T,2,E,2,false,2,1
